t,x,y,z,qw,qx,qy,qz
0,0.9,-0.38,1.0,0.5000031633974484,-0.4999968366025516,0.49999999998999284,0.49999999998999284
1,0.8974531753217339,-0.3742996607170282,1.0029707824855576,-0.49854942950103576,0.5013031568691608,-0.5003692306798108,-0.49977419325741435
2,0.8949065200395443,-0.3685964515488098,1.0059414419503574,-0.49709369784982327,0.5026074683464129,-0.5007364563226402,-0.4995463838622424
3,0.8923600279029544,-0.3628903725643451,1.0089119687174124,-0.49563597427712375,0.5039097658077561,-0.5011016754469578,-0.49931657271733976
4,0.889654537952002,-0.35627206276302026,1.0120680133108257,-0.4940849590312051,0.5052912513115543,-0.5014875225464541,-0.49907020481827563
5,0.8869492176161882,-0.34965051350031606,1.0152238855753155,-0.4925317086805008,0.5066704510163756,-0.5018711010539982,-0.4988215792625419
6,0.8842440593888705,-0.3430257250296863,1.0183795739120154,-0.49097623025148907,0.5080473586830986,-0.5022524092343867,-0.49857069717485203
7,0.8815390557604732,-0.336397697663198,1.0215350667253864,-0.4894185307807276,0.5094219680829708,-0.5026314453626858,-0.4983175596901278
8,0.8788341992186232,-0.3297664317715253,1.0246903524234288,-0.4878586173148216,0.5107942729976366,-0.5030082077242399,-0.4980621679534939
9,0.8761294822482854,-0.3231319277839434,1.027845419417889,-0.4862964969103912,0.5121642672191652,-0.5033826946146795,-0.49780452312027246
10,0.8734248973318998,-0.31649418618832026,1.0310002561244718,-0.48473217663404067,0.5135319445500782,-0.5037549043399289,-0.4975446263559778
11,0.8707204369495165,-0.30985320753110807,1.034154850963049,-0.48316566356232593,0.5148972988033792,-0.5041248352162132,-0.49728247883631177
12,0.8680160935789325,-0.30320899241733323,1.0373091923578683,-0.481596964781722,0.5162603238025797,-0.5044924855700668,-0.49701808174715784
13,0.8653118596958269,-0.2965615415105855,1.0404632687377644,-0.48002608738859176,0.517621013381729,-0.50485785373834,-0.49675143628457574
14,0.8626077277738984,-0.2899108555330058,1.0436170685363668,-0.4784530384891535,0.5189793613854405,-0.5052209380682079,-0.4964825436547963
15,0.859903690285,-0.2832569352652733,1.04677058019231,-0.4768778251994491,0.5203353616689206,-0.5055817369171764,-0.49621140507421646
16,0.8571997396992765,-0.2765997815465915,1.0499237921494418,-0.4753004546453109,0.5216890080979962,-0.5059402486530906,-0.4959380217693922
17,0.8544958684853,-0.26993939527467253,1.0530766928570339,-0.4737209339623308,0.5230402945491424,-0.5062964716541418,-0.49566239497703507
18,0.8517920691102063,-0.26327577740572133,1.0562292707699894,-0.47213927029582675,0.5243892149095096,-0.5066504043088745,-0.49538452594400467
19,0.8490883340398314,-0.2566089289544181,1.0593815143490526,-0.47055547080081117,0.5257357630769526,-0.5070020450161953,-0.4951044159273045
20,0.8507300621955615,-0.24770395092490682,1.0574674805272244,-0.4715174242544825,0.5249184085761398,-0.5067887986156112,-0.4952747687496878
21,0.8523718129694894,-0.2387977819178918,1.0555533217644273,-0.47247859125625497,0.524100178555022,-0.5065747069334058,-0.4954442954948951
22,0.8540135880485302,-0.2298904216984936,1.0536390406432916,-0.47343897020298203,0.523281074378339,-0.5063597703266659,-0.49561299588016994
23,0.8556553891194372,-0.22098187003978048,1.0517246397472642,-0.4743985594928314,0.5224610974122883,-0.5061439891538883,-0.4957808696241339
24,0.8572972178687898,-0.2120721267227692,1.0498101216605913,-0.4753573575252876,0.5216402490245238,-0.5059273637749778,-0.4959479164467878
25,0.858939075982983,-0.20316119153642717,1.0478954889683008,-0.4763153627011555,0.5208185305841521,-0.5057098945512477,-0.4961141360695111
26,0.860580965148216,-0.19424906427767347,1.045980744256185,-0.4772725734225618,0.5199959434617311,-0.5054915818454183,-0.4962795282150635
27,0.8622228870504804,-0.1853357447513801,1.044065890110784,-0.4782289880929588,0.5191724890292683,-0.5052724260216176,-0.4964440926075846
28,0.8638648433755501,-0.17642123277037375,1.0421509291193674,-0.4791846051171259,0.5183481686602168,-0.5050524274453787,-0.4966078289725946
29,0.8655068358089688,-0.16750552815543662,1.0402358638699183,-0.4801394229011737,0.517522983729475,-0.5048315864836415,-0.4967707370369949
30,0.8671488660360392,-0.15858863073530763,1.038320696951115,-0.4810934398525449,0.5166969356133827,-0.50460990350475,-0.4969328165290682
31,0.8687909357418123,-0.14967054034668414,1.0364054309523139,-0.48204665438001904,0.5158700256897192,-0.5043873788784532,-0.49709406717847976
32,0.8704330466110753,-0.14075125683422202,1.034490068463533,-0.4829990648937129,0.5150422553377018,-0.5041640129759033,-0.49725448871627637
33,0.8720752003283413,-0.13183078005053778,1.0325746120754336,-0.48395066980508544,0.5142136259379827,-0.5039398061696567,-0.4974140808748888
34,0.8737173985778369,-0.12290910985620872,1.0306590643793037,-0.4849014675269384,0.5133841388726469,-0.5037147588336713,-0.4975728433881302
35,0.875359643043492,-0.11398624611977416,1.0287434279670407,-0.48585145647342004,0.5125537955252099,-0.5034888713433076,-0.49773077599119797
36,0.877001935408928,-0.10506218871773652,1.0268277054311328,-0.4868006350600279,0.5117225972806156,-0.5032621440753268,-0.4978878784206736
37,0.8786442773574469,-0.09613693753456189,1.0249118993646442,-0.48774900170361085,0.5108905455252335,-0.5030345774078916,-0.49804415041452343
38,0.8802866705720196,-0.08721049246268088,1.0229960123611954,-0.4886965548223721,0.5100576416468566,-0.502806171720564,-0.4981995917120985
39,0.8819291167352753,-0.07828285340248921,1.0210800470149473,-0.489643292835872,0.5092238870346998,-0.5025769273943059,-0.49835420205413605
40,0.8835716175294898,-0.06935402026234862,1.0191640059205835,-0.4905892141650297,0.5083892830793962,-0.5023468448114776,-0.4985079811827585
41,0.8852141746365743,-0.060423992958587316,1.0172478916732928,-0.4915343172321274,0.507553831172996,-0.502115924355838,-0.4986609288414753
42,0.8868567897380645,-0.05149277141550046,1.0153317068687524,-0.49247860046081143,0.5067175327089636,-0.5018841664125429,-0.498813044775182
43,0.888499464515109,-0.04256035556535101,1.0134154541031095,-0.4934220622760961,0.5058803890821756,-0.5016515713681455,-0.49896432873016255
44,0.8901422006484584,-0.03362674534836971,1.0114991359729655,-0.49436470110436503,0.5050424016889175,-0.501418139610595,-0.4991147804540873
45,0.891784999818454,-0.02469194071275585,1.0095827550753573,-0.49530651537337533,0.5042035719268831,-0.5011838715292363,-0.49926439969601555
46,0.8934278637050165,-0.0157559416146775,1.007666314007741,-0.49624750351225894,0.5033639011951706,-0.500948767514809,-0.4994131862063947
47,0.8950707939876347,-0.0068187480182715365,1.0057498153679743,-0.4971876639515257,0.5025233908942811,-0.5007128279594469,-0.4995611397370613
48,0.8967137923453542,0.002119640104355447,1.003833261754298,-0.4981269951230662,0.5016820424261158,-0.5004760532566779,-0.4997082600412412
49,0.8983568604567673,0.011059222773127791,1.0019166557653207,-0.49906549546015394,0.5008398571939745,-0.5002384438014222,-0.49985454687354985
50,0.9,0.020000000000000018,1.0,0.5000031633974484,-0.4999968366025516,0.49999999998999284,0.49999999998999284
