t,x,y,z,qw,qx,qy,qz
0,1.0576923076923075,-0.2784615384615384,1.0,0.588350886987678,0.39223227026851787,0.5883484054027768,-0.39222854791667916
1,1.0540679832730095,-0.27250527657341506,0.9981396683366487,0.5871629220776506,0.3941108334959293,0.5879504799371627,-0.39272202255544403
2,1.0504450668712166,-0.26655371849444387,0.9962803045275189,0.5859718204714706,0.3959872913350597,0.5875494135681653,-0.3932133992251258
3,1.0468235393390883,-0.26060687203331706,0.994421898201534,0.5847775885321482,0.39786163376164174,0.5871452084383304,-0.39370267530073033
4,1.0432033814991055,-0.2546647448980468,0.9925644389671575,0.5835802326394167,0.399733850762709,0.5867378667069711,-0.3941898481684848
5,1.0395845741444807,-0.24872734469580068,0.9907079164126155,0.5823797591896978,0.40160393233664926,0.5863273905501568,-0.39467491522585224
6,1.035967098039569,-0.24279467893273898,0.9888523201061177,0.5811761745960671,0.4034718684932578,0.5859137821607016,-0.39515787388154505
7,1.032350933920279,-0.2368667550138541,0.9869976395960823,0.5799694852882211,0.40533764925379134,0.5854970437481517,-0.395638721555539
8,1.0287360624944837,-0.2309435802428127,0.9851438644113579,0.5787596977124416,0.4072012646510208,0.5850771775387749,-0.396117455679087
9,1.0251224644424333,-0.22502516182179938,0.9832909840614478,0.5775468183315619,0.4090627047292848,0.5846541857755478,-0.39659407369473293
10,1.0215101204171682,-0.219111506851363,0.9814389880367338,0.5763308536249317,0.41092195954454275,0.5842280707181441,-0.3970685730563248
11,1.0178990110449315,-0.2132026223302647,0.9795878658087013,0.5751118100883836,0.4127790191644279,0.5837988346429226,-0.39754095122902927
12,1.0142891169255848,-0.20729851515532838,0.977737606830164,0.5738896942341971,0.4146338736683005,0.5833664798429148,-0.3980112056893441
13,1.0106804186330207,-0.20139919212129367,0.9758882005354891,0.5726645125910645,0.4164865131473014,0.5829310086278132,-0.3984793339251127
14,1.007072896715579,-0.1955046599206702,0.9740396363408235,0.5714362717040563,0.4183369277044034,0.5824924233239582,-0.3989453334355367
15,1.0034665316964628,-0.18961492514359501,0.9721919036443196,0.5702049781345851,0.4201851074544657,0.582050726274326,-0.39940920173118954
16,0.999861304074153,-0.18372999427769154,0.9703449918263618,0.5689706384603721,0.4220310425242861,0.5816059198385165,-0.39987093633403004
17,0.9962571943228269,-0.1778498737079311,0.968498890249794,0.5677332592754109,0.42387472305265356,0.5811580063927397,-0.40033053477741565
18,0.992654182892774,-0.17197456971649613,0.9666535882601459,0.5664928471899322,0.42571613919040124,0.5807069883298046,-0.40078799460611525
19,0.9890522502108152,-0.16610408848264666,0.9648090751858621,0.5652494088303691,0.4275552811004588,0.5802528680591043,-0.4012433133763224
20,0.9854513766807196,-0.16023843608258745,0.9629653403385283,0.5640029508393216,0.42939213895790534,0.5797956480066051,-0.40169648865566854
21,0.981851542683624,-0.15437761848933862,0.9611223730131013,0.5627534798755206,0.4312267029500213,0.5793353306148324,-0.40214751802323584
22,0.9782527285784518,-0.1485216415726078,0.9592801624881373,0.5615010026137932,0.4330589632763417,0.578871918342858,-0.40259639906957045
23,0.9746549147023331,-0.14267051109866502,0.9574386980260202,0.5602455257450255,0.43488891014870745,0.578405413666287,-0.40304312939669473
24,0.9747535667320828,-0.13540009085327778,0.9551215795793045,0.5609217673367725,0.43661580681093,0.5774219335484215,-0.40164327310168485
25,0.9748514434682294,-0.1281301422399779,0.9528050486239729,0.5615944379291524,0.43833992384351333,0.5764347773860893,-0.40024085982287166
26,0.9749485419317959,-0.12086066595630338,0.95048910064346,0.5622635332397393,0.44006125027020204,0.5754439514638282,-0.3988358984884469
27,0.9750448591636252,-0.11359166268776402,0.9481737311063558,0.5629290490088673,0.4417797751325056,0.5744494620895384,-0.3974283980428234
28,0.975140392224453,-0.10632313310782418,0.9458589354665198,0.5635909809996601,0.44349548748976986,0.5734513155944437,-0.3960183674465793
29,0.9752351381949851,-0.0990550778778857,0.9435447091631971,0.5642493249980564,0.4452083764192457,0.5724495183330492,-0.39460581567640013
30,0.97532909417597,-0.09178749764727118,0.9412310476211344,0.5649040768128366,0.44691843101615886,0.5714440766831026,-0.3931907517250221
31,0.9754222572882738,-0.084520393053207,0.9389179462506967,0.5655552322756512,0.4486256403937791,0.5704349970455527,-0.3917731846011746
32,0.9755146246729534,-0.07725376472080742,0.9366054004479842,0.5662027872410453,0.45032999368349014,0.5694222858445087,-0.3903531233295233
33,0.9756061934913284,-0.06998761326305888,0.9342934055949499,0.5668467375864861,0.4520314800348577,0.5684059495271995,-0.388930576950612
34,0.9756969609250544,-0.06272193928080375,0.9319819570595158,0.5674870792123894,0.45373008861570024,0.5673859945639327,-0.38750555452080576
35,0.9757869241761945,-0.055456743362725686,0.9296710501956925,0.568123808042144,0.4554258086121561,0.5663624274480533,-0.3860780651122327
36,0.9758760804672902,-0.04819202608533413,0.9273606803436968,0.5687569200221398,0.4571186292287539,0.5653352546959024,-0.3846481178127266
37,0.9759644270414324,-0.04092778801294997,0.9250508428300703,0.5693864111217928,0.4588085396884804,0.5643044828467757,-0.383215721725769
38,0.976051961162332,-0.03366402969769114,0.9227415329677985,0.57001227733357,0.4604955292328489,0.5632701184628813,-0.3817808859704309
39,0.9761386801143888,-0.026400751679458323,0.9204327460564299,0.5706345146730162,0.46217958712196894,0.5622321681292993,-0.3803436196813152
40,0.9762245812027608,-0.0191379544859214,0.9181244773821965,0.5712531191787779,0.4638607026346129,0.5611906384539386,-0.3789039320084983
41,0.9763096617534337,-0.011875638632505958,0.9158167222181329,0.5718680869126304,0.46553886506828607,0.5601455360674954,-0.37746183211747203
42,0.9763939191132875,-0.004613804622380174,0.9135094758241972,0.5724794139595006,0.46721406373929364,0.5590968676234107,-0.37601732918908476
43,0.976477350650166,0.002647547053558047,0.9112027334473914,0.5730870964274939,0.46888628798280874,0.5580446397978285,-0.37457043241948335
44,0.9765599537529418,0.00990841591669328,0.908896490321883,0.5736911304479182,0.47055552715294113,0.5569888592895522,-0.37312115102005494
45,0.976641725831584,0.017168801500705544,0.9065907416691258,0.5742915121753084,0.4722217706228041,0.5559295328200036,-0.37166949421736784
46,0.9767226643172241,0.02442870335158101,0.9042854826979816,0.5748882377874506,0.4738850077845826,0.5548666671331786,-0.37021547125311266
47,0.9768027666622205,0.031688121027624694,0.9019807086048423,0.5754813034854074,0.47554522804960064,0.5538002689956046,-0.368759091384044
48,0.9768820303402254,0.03894705409947097,0.8996764145737526,0.5760707054935416,0.4772024208483886,0.5527303451962984,-0.367300363881921
49,0.9769604528462464,0.04620550215009478,0.8973725957765323,0.5766564400595395,0.4788565756307508,0.5516569025467215,-0.3658392980334488
50,0.9770380316967127,0.05346346477482228,0.8950692473728992,0.5772385034544363,0.4805076818658326,0.5505799478807382,-0.364375903140219
51,0.9771147644295366,0.06072094158134103,0.8927663645105921,0.5778168919726382,0.482155729042187,0.5494994880545706,-0.36291018851865064
52,0.977190648604177,0.06797793218971016,0.8904639423254953,0.5783916019319473,0.48380070666784214,0.5484155299467562,-0.3614421634999308
