t,x,y,z,qw,qx,qy,qz
0,1.0,-0.26,0.9,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
1,1.0,-0.2387867965644036,0.9212132034355964,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
2,1.0,-0.2175735931288072,0.9424264068711928,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
3,1.0,-0.1963603896932108,0.9636396103067892,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
4,1.0,-0.17514718625761438,0.9848528137423856,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
5,1.0,-0.15393398282201798,1.006066017177982,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
6,1.0,-0.13272077938642157,1.0272792206135786,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
7,1.0,-0.11150757595082517,1.048492424049175,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
8,1.0,-0.09029437251522876,1.0697056274847716,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
9,1.0,-0.0690811690796323,1.0909188309203681,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
10,1.0,-0.04786796564403584,1.1121320343559646,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
11,1.0,-0.026654762208439375,1.133345237791561,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
12,1.0,-0.0054415587728429415,1.1545584412271575,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
13,1.0,0.015771644662753492,1.1757716446627537,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
14,1.0,0.036984848098349926,1.1969848480983503,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
15,1.0,0.05819805153394636,1.2181980515339466,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
16,1.0,0.0794112549695428,1.239411254969543,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
17,1.0,0.10062445840513926,1.2606244584051394,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
18,1.0,0.12183766184073569,1.2818376618407359,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
19,1.0,0.14305086527633215,1.3030508652763322,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
20,1.0,0.16426406871192858,1.3242640687119287,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
21,1.0,0.18547727214752505,1.345477272147525,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
22,1.0054451374642013,0.20476778114631008,1.3677982654176226,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
23,1.0134523221765235,0.2294179648675279,1.3829063240451551,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
