time,x,y,z,qw,qx,qy,qz
0.0,-0.000000,0.000000,0.000000,0.707107,0.000000,0.000000,0.707107
0.03623188,0.001431,0.000000,0.003984,0.707107,0.000000,0.000000,0.707107
0.07246377,0.003492,0.000000,0.008373,0.707107,0.000000,0.000000,0.707107
0.10869565,0.006160,0.000000,0.013158,0.707107,0.000000,0.000000,0.707107
0.14492754,0.009410,0.000000,0.018331,0.707107,0.000000,0.000000,0.707107
0.18115942,0.013217,0.000000,0.023884,0.707107,0.000000,0.000000,0.707107
0.2173913,0.017557,0.000000,0.029808,0.707107,0.000000,0.000000,0.707107
0.25362319,0.022404,0.000000,0.036095,0.707107,0.000000,0.000000,0.707107
0.28985507,0.027736,0.000000,0.042737,0.707107,0.000000,0.000000,0.707107
0.32608696,0.033526,0.000000,0.049726,0.707107,0.000000,0.000000,0.707107
0.36231884,0.039751,0.000000,0.057052,0.707107,0.000000,0.000000,0.707107
0.39855072,0.046386,0.000000,0.064708,0.707107,0.000000,0.000000,0.707107
0.43478261,0.053405,0.000000,0.072686,0.707107,0.000000,0.000000,0.707107
0.47101449,0.060786,0.000000,0.080977,0.707107,0.000000,0.000000,0.707107
0.50724638,0.068503,0.000000,0.089573,0.707107,0.000000,0.000000,0.707107
0.54347826,0.076531,0.000000,0.098465,0.707107,0.000000,0.000000,0.707107
0.57971014,0.084847,0.000000,0.107646,0.707107,0.000000,0.000000,0.707107
0.61594203,0.093424,0.000000,0.117106,0.707107,0.000000,0.000000,0.707107
0.65217391,0.102240,0.000000,0.126838,0.707107,0.000000,0.000000,0.707107
0.6884058,0.111269,0.000000,0.136833,0.707107,0.000000,0.000000,0.707107
0.72463768,0.120487,0.000000,0.147084,0.707107,0.000000,0.000000,0.707107
0.76086957,0.129869,0.000000,0.157581,0.707107,0.000000,0.000000,0.707107
0.79710145,0.139391,0.000000,0.168316,0.707107,0.000000,0.000000,0.707107
0.83333333,0.149027,0.000000,0.179281,0.707107,0.000000,0.000000,0.707107
0.86956522,0.158755,0.000000,0.190468,0.707107,0.000000,0.000000,0.707107
0.9057971,0.168548,0.000000,0.201869,0.707107,0.000000,0.000000,0.707107
0.94202899,0.178382,0.000000,0.213474,0.707107,0.000000,0.000000,0.707107
0.97826087,0.188233,0.000000,0.225276,0.707107,0.000000,0.000000,0.707107
1.01449275,0.198077,0.000000,0.237267,0.707107,0.000000,0.000000,0.707107
1.05072464,0.207885,0.000000,0.249430,0.707107,0.000000,0.000000,0.707107
1.08695652,0.217621,0.000000,0.261720,0.707107,0.000000,0.000000,0.707107
1.12318841,0.227246,0.000000,0.274085,0.707107,0.000000,0.000000,0.707107
1.15942029,0.236719,0.000000,0.286472,0.707107,0.000000,0.000000,0.707107
1.19565217,0.246001,0.000000,0.298829,0.707107,0.000000,0.000000,0.707107
1.23188406,0.255053,0.000000,0.311103,0.707107,0.000000,0.000000,0.707107
1.26811594,0.263834,0.000000,0.323243,0.707107,0.000000,0.000000,0.707107
1.30434783,0.272306,0.000000,0.335195,0.707107,0.000000,0.000000,0.707107
1.34057971,0.280428,0.000000,0.346908,0.707107,0.000000,0.000000,0.707107
1.37681159,0.288161,0.000000,0.358329,0.707107,0.000000,0.000000,0.707107
1.41304348,0.295466,0.000000,0.369406,0.707107,0.000000,0.000000,0.707107
1.44927536,0.302303,0.000000,0.380086,0.707107,0.000000,0.000000,0.707107
1.48550725,0.308632,0.000000,0.390318,0.707107,0.000000,0.000000,0.707107
1.52173913,0.314414,0.000000,0.400048,0.707107,0.000000,0.000000,0.707107
1.55797101,0.319609,0.000000,0.409224,0.707107,0.000000,0.000000,0.707107
1.5942029,0.324178,0.000000,0.417795,0.707107,0.000000,0.000000,0.707107
1.63043478,0.328081,0.000000,0.425707,0.707107,0.000000,0.000000,0.707107
1.66666667,0.331278,0.000000,0.432908,0.707107,0.000000,0.000000,0.707107
1.70289855,0.333729,0.000000,0.439346,0.707107,0.000000,0.000000,0.707107
1.73913043,0.335396,0.000000,0.444969,0.707107,0.000000,0.000000,0.707107
1.77536232,0.336239,0.000000,0.449724,0.707107,0.000000,0.000000,0.707107
1.8115942,0.336218,0.000000,0.453559,0.707107,0.000000,0.000000,0.707107
1.84782609,0.335293,0.000000,0.456421,0.707107,0.000000,0.000000,0.707107
1.88405797,0.333427,0.000000,0.458260,0.707107,0.000000,0.000000,0.707107
1.92028986,0.330630,0.000000,0.459067,0.707107,0.000000,0.000000,0.707107
1.95652174,0.326957,0.000000,0.458871,0.707107,0.000000,0.000000,0.707107
1.99275362,0.322464,0.000000,0.457701,0.707107,0.000000,0.000000,0.707107
2.02898551,0.317206,0.000000,0.455589,0.707107,0.000000,0.000000,0.707107
2.06521739,0.311241,0.000000,0.452565,0.707107,0.000000,0.000000,0.707107
2.10144928,0.304625,0.000000,0.448660,0.707107,0.000000,0.000000,0.707107
2.13768116,0.297413,0.000000,0.443903,0.707107,0.000000,0.000000,0.707107
2.17391304,0.289663,0.000000,0.438326,0.707107,0.000000,0.000000,0.707107
2.21014493,0.281429,0.000000,0.431959,0.707107,0.000000,0.000000,0.707107
2.24637681,0.272770,0.000000,0.424833,0.707107,0.000000,0.000000,0.707107
2.2826087,0.263740,0.000000,0.416977,0.707107,0.000000,0.000000,0.707107
2.31884058,0.254396,0.000000,0.408423,0.707107,0.000000,0.000000,0.707107
2.35507246,0.244794,0.000000,0.399201,0.707107,0.000000,0.000000,0.707107
2.39130435,0.234991,0.000000,0.389342,0.707107,0.000000,0.000000,0.707107
2.42753623,0.225043,0.000000,0.378875,0.707107,0.000000,0.000000,0.707107
2.46376812,0.215006,0.000000,0.367832,0.707107,0.000000,0.000000,0.707107
2.5,0.204936,0.000000,0.356243,0.707107,0.000000,0.000000,0.707107
2.53623188,0.194890,0.000000,0.344138,0.707107,0.000000,0.000000,0.707107
2.57246377,0.184923,0.000000,0.331549,0.707107,0.000000,0.000000,0.707107
2.60869565,0.175093,0.000000,0.318504,0.707107,0.000000,0.000000,0.707107
2.64492754,0.165454,0.000000,0.305036,0.707107,0.000000,0.000000,0.707107
2.68115942,0.156065,0.000000,0.291174,0.707107,0.000000,0.000000,0.707107
2.7173913,0.146980,0.000000,0.276949,0.707107,0.000000,0.000000,0.707107
2.75362319,0.138244,0.000000,0.262399,0.707107,0.000000,0.000000,0.707107
2.78985507,0.129865,0.000000,0.247580,0.707107,0.000000,0.000000,0.707107
2.82608696,0.121849,0.000000,0.232555,0.707107,0.000000,0.000000,0.707107
2.86231884,0.114198,0.000000,0.217382,0.707107,0.000000,0.000000,0.707107
2.89855072,0.106917,0.000000,0.202123,0.707107,0.000000,0.000000,0.707107
2.93478261,0.100009,0.000000,0.186839,0.707107,0.000000,0.000000,0.707107
2.97101449,0.093479,0.000000,0.171590,0.707107,0.000000,0.000000,0.707107
3.00724638,0.087329,0.000000,0.156436,0.707107,0.000000,0.000000,0.707107
3.04347826,0.081564,0.000000,0.141439,0.707107,0.000000,0.000000,0.707107
3.07971014,0.076188,0.000000,0.126658,0.707107,0.000000,0.000000,0.707107
3.11594203,0.071204,0.000000,0.112156,0.707107,0.000000,0.000000,0.707107
3.15217391,0.066617,0.000000,0.097991,0.707107,0.000000,0.000000,0.707107
3.1884058,0.062430,0.000000,0.084225,0.707107,0.000000,0.000000,0.707107
3.22463768,0.058646,0.000000,0.070918,0.707107,0.000000,0.000000,0.707107
3.26086957,0.055271,0.000000,0.058132,0.707107,0.000000,0.000000,0.707107
3.29710145,0.052307,0.000000,0.045926,0.707107,0.000000,0.000000,0.707107
3.33333333,0.049758,0.000000,0.034361,0.707107,0.000000,0.000000,0.707107
3.36956522,0.047629,0.000000,0.023498,0.707107,0.000000,0.000000,0.707107
3.4057971,0.045923,0.000000,0.013398,0.707107,0.000000,0.000000,0.707107
3.44202899,0.044643,0.000000,0.004121,0.707107,0.000000,0.000000,0.707107
3.47826087,0.043794,0.000000,-0.004273,0.707107,0.000000,0.000000,0.707107
3.51449275,0.043380,0.000000,-0.011722,0.707107,0.000000,0.000000,0.707107
3.55072464,0.043404,0.000000,-0.018167,0.707107,0.000000,0.000000,0.707107
3.58695652,0.043871,0.000000,-0.023545,0.707107,0.000000,0.000000,0.707107
3.62318841,0.044783,0.000000,-0.027798,0.707107,0.000000,0.000000,0.707107
3.65942029,0.046145,0.000000,-0.030863,0.707107,0.000000,0.000000,0.707107
3.69565217,0.047961,0.000000,-0.032682,0.707107,0.000000,0.000000,0.707107
3.73188406,0.050234,0.000000,-0.033192,0.707107,0.000000,0.000000,0.707107
3.76811594,0.052968,0.000000,-0.032334,0.707107,0.000000,0.000000,0.707107
3.80434783,0.056168,0.000000,-0.030056,0.707107,0.000000,0.000000,0.707107
3.84057971,0.059842,0.000000,-0.026411,0.707107,0.000000,0.000000,0.707107
3.87681159,0.063999,0.000000,-0.021509,0.707107,0.000000,0.000000,0.707107
3.91304348,0.068650,0.000000,-0.015460,0.707107,0.000000,0.000000,0.707107
3.94927536,0.073805,0.000000,-0.008374,0.707107,0.000000,0.000000,0.707107
3.98550725,0.079474,0.000000,-0.000362,0.707107,0.000000,0.000000,0.707107
4.02173913,0.085668,0.000000,0.008466,0.707107,0.000000,0.000000,0.707107
4.05797101,0.092397,0.000000,0.017999,0.707107,0.000000,0.000000,0.707107
4.0942029,0.099671,0.000000,0.028127,0.707107,0.000000,0.000000,0.707107
4.13043478,0.107500,0.000000,0.038739,0.707107,0.000000,0.000000,0.707107
4.16666667,0.115895,0.000000,0.049726,0.707107,0.000000,0.000000,0.707107
4.20289855,0.124865,0.000000,0.060975,0.707107,0.000000,0.000000,0.707107
4.23913043,0.134421,0.000000,0.072377,0.707107,0.000000,0.000000,0.707107
4.27536232,0.144573,0.000000,0.083822,0.707107,0.000000,0.000000,0.707107
4.3115942,0.155332,0.000000,0.095199,0.707107,0.000000,0.000000,0.707107
4.34782609,0.166670,0.000000,0.106399,0.707107,0.000000,0.000000,0.707107
4.38405797,0.178432,0.000000,0.117311,0.707107,0.000000,0.000000,0.707107
4.42028986,0.190437,0.000000,0.127830,0.707107,0.000000,0.000000,0.707107
4.45652174,0.202501,0.000000,0.137847,0.707107,0.000000,0.000000,0.707107
4.49275362,0.214442,0.000000,0.147254,0.707107,0.000000,0.000000,0.707107
4.52898551,0.226077,0.000000,0.155943,0.707107,0.000000,0.000000,0.707107
4.56521739,0.237223,0.000000,0.163807,0.707107,0.000000,0.000000,0.707107
4.60144928,0.247699,0.000000,0.170737,0.707107,0.000000,0.000000,0.707107
4.63768116,0.257322,0.000000,0.176625,0.707107,0.000000,0.000000,0.707107
4.67391304,0.265908,0.000000,0.181364,0.707107,0.000000,0.000000,0.707107
4.71014493,0.273275,0.000000,0.184846,0.707107,0.000000,0.000000,0.707107
4.74637681,0.279242,0.000000,0.186962,0.707107,0.000000,0.000000,0.707107
4.7826087,0.283624,0.000000,0.187605,0.707107,0.000000,0.000000,0.707107
4.81884058,0.286240,0.000000,0.186668,0.707107,0.000000,0.000000,0.707107
4.85507246,0.286917,0.000000,0.184047,0.707107,0.000000,0.000000,0.707107
