t,x,y,z,qw,qx,qy,qz
0,1.05,-0.18,0.8,0.5000031633974484,-0.4999968366025516,0.49999999998999284,0.49999999998999284
1,1.0433046772597996,-0.17875926579372967,0.8025009569326812,0.5027038132492685,-0.49959113536660626,0.4994343633893186,0.4982598621940721
2,1.0366109876001786,-0.1775145612676348,0.8049983838631677,0.5053990308196245,-0.49918003548519024,0.4988633298372719,0.49651434013858836
3,1.0299189642226103,-0.17626588667913926,0.8074922960510122,0.5080887869836511,-0.49876354140070145,0.49828690550451377,0.49476345268587535
4,1.0232286402565431,-0.17501324245727048,0.80998270890769,0.5107730526755012,-0.49834165761382787,0.49770509661995926,0.4930072187562459
5,1.0165400487579694,-0.17375662920264082,0.8124696379959327,0.5134517988886574,-0.4979143886834997,0.49711790947070905,0.4912456573277879
6,1.0098532227079973,-0.17249604768742166,0.814953099029056,0.5161249966762467,-0.4974817392268389,0.4965253504019826,0.48947878743615836
7,1.003168195011424,-0.17123149885531008,0.8174331078702796,0.5187926171513534,-0.49704371391911134,0.4959274258170485,0.4877066281743787
8,0.9964849984953136,-0.16996298382148808,0.8199096805320426,0.5214546314873304,-0.49660031749367395,0.49532414217715615,0.4859291986926276
9,0.9898036659075797,-0.16869050387257417,0.8223828331753107,0.5241110109181119,-0.496151554741925,0.4947155060014654,0.4841465181980344
10,0.9831242299155678,-0.16741406046656807,0.8248525821088779,0.5267617267385227,-0.49569743051325205,0.49410152386697614,0.48235860595447194
11,0.9764467231046442,-0.16613365523278734,0.8273189437886614,0.5294067503045906,-0.49523794971497925,0.4934822024084577,0.48056548128234755
12,0.9697711779767879,-0.16484928997179735,0.8297819348169906,0.5320460530338535,-0.4947731173123149,0.4928575483183769,0.4787671635583951
13,0.9630976269491854,-0.16356096665533298,0.8322415719418887,0.5346796064056699,-0.4943029383282968,0.4922275683468251,0.47696367221546493
14,0.9564261023528289,-0.16226868742621403,0.83469787205635,0.5373073819615265,-0.49382741784373935,0.49159226930144617,0.4751550267423143
15,0.9497566364311198,-0.16097245459825194,0.8371508521976087,0.5399293513053456,-0.49334656099717733,0.4909516580473628,0.47334124668339694
16,0.9430892613384745,-0.15967227065615003,0.8396005295464027,0.5425454861037925,-0.4928603729848111,0.49030574150710166,0.4715223516386509
17,0.9364240091389343,-0.15836813825539633,0.8420469214262316,0.5451557580865812,-0.4923688590604503,0.4896545266605191,0.4696983612632881
18,0.9297609118047799,-0.1570600602221484,0.8444900453026071,0.5477601390467801,-0.4918720245354569,0.488998020544726,0.4678692952675809
19,0.9231000012151496,-0.1557480395531116,0.8469299187822981,0.5503586008411167,-0.4913698747786882,0.48833623025401085,0.4660351734166494
20,0.9164413091546603,-0.15443207941540907,0.8493665596125702,0.5529511153902813,-0.4908624152164386,0.487669162939764,0.4641960155302481
21,0.9097848673120347,-0.1531121831464453,0.8517999856804185,0.5555376546792319,-0.49034965133238057,0.48699682581039977,0.4623518414825516
22,0.9031307072787315,-0.15178835425376153,0.854230215011794,0.5581181907574949,-0.489831588667506,0.48631922613127887,0.46050267120193955
23,0.8964788605475789,-0.1504605964148844,0.8566572657708246,0.5606926957394689,-0.4893082328200664,0.48563637122463,0.4586485246707816
24,0.8898293585114145,-0.14912891347716664,0.8590811562590304,0.5632611418047249,-0.48877958944551114,0.4849482684694699,0.45678942192522143
25,0.8831822324617281,-0.14779330945762129,0.8615019049145318,0.5658235011983075,-0.48824566425642846,0.48425492530152486,0.45492538305496033
26,0.8765375135873081,-0.14645378854274754,0.8639195303112536,0.5683797462310344,-0.4877064630224818,0.4835563492131496,0.45305642820303993
27,0.8698952329728948,-0.14511035508835016,0.8663340511581211,0.5709298492797962,-0.48716199157034806,0.4828525477532462,0.45118257756562424
28,0.8632554215978365,-0.14376301361935084,0.8687454862982521,0.5734737827878543,-0.4866122557836556,0.4821435285271829,0.44930385139178214
29,0.8566181103347492,-0.14241176882959317,0.8711538547081422,0.5760115192651393,-0.4860572616029193,0.48142929919671174,0.4474202699832681
30,0.849983329948184,-0.14105662558163912,0.8735591754968445,0.5785430312885469,-0.4854970150254767,0.48070986747988614,0.4455318536943029
31,0.8433511110932956,-0.13969758890655926,0.8759614679051435,0.5810682915022362,-0.48493152210542406,0.47998524115097657,0.44363862293135353
32,0.8367214843145188,-0.13833466400371514,0.8783607513047239,0.5835872726179232,-0.48436078895354984,0.47925542804038784,0.4417405981529129
33,0.830094480044247,-0.1369678562405347,0.880757045197333,0.586099947415177,-0.483784821737269,0.4785204360345731,0.43983779986927857
34,0.8234701286015174,-0.1355971711522801,0.8831503692139373,0.5886062887417135,-0.4832036266805569,0.4777802730759499,0.4379302486423313
35,0.8183987232130192,-0.13504766192314016,0.8872202854305836,0.5909575222498307,-0.48389990448550757,0.47631720313646275,0.43558238179650355
36,0.8133293186140471,-0.13449695044279666,0.8912875589882931,0.5933006796413439,-0.4845895692397631,0.4748476237726462,0.43322856221469475
37,0.808261936145525,-0.1339450409380956,0.895352204250163,0.5956357288943028,-0.48527261151825885,0.4733715550679984,0.43086882206456606
38,0.8031965970378387,-0.13339193770137217,0.8994142357229645,0.5979626380975646,-0.48594902198643325,0.47188901719470155,0.42850319359469013
39,0.7981333224096747,-0.1328376450902164,0.9034736680563504,0.6002813754512293,-0.4866187914003571,0.47040003041334716,0.4261317091341104
40,0.7930721332668659,-0.13228216752723482,0.9075305160420538,0.6025919092670746,-0.48728191060685805,0.4689046150726578,0.4237544010918991
41,0.7880130505012432,-0.13172550949980852,0.9115847946130797,0.6048942079689895,-0.48793837054364697,0.4674027916092104,0.42137130195671446
42,0.7829560948894937,-0.1311676755598481,0.915636518842889,0.6071882400934048,-0.4885881622394409,0.46589458054715566,0.4189824442963565
43,0.7779012870920249,-0.13060867032354478,0.9196857039445737,0.6094739742897237,-0.4892312768140865,0.46438000249793854,0.4165878607573224
44,0.7728486476518353,-0.13004849847111796,0.9237323652700262,0.6117513793207506,-0.489867705478681,0.4628590781600162,0.41418758406436
45,0.767798196993391,-0.12948716474655944,0.9277765183090994,0.6140204240631171,-0.49049743953569197,0.46133182831857505,0.4117816470200205
46,0.7706501497196196,-0.1308490770093153,0.9349882516004652,0.613642229155444,-0.49333056688032756,0.45988444011226676,0.4105782119417678
47,0.773499918301218,-0.13220732491894166,0.9422034301776882,0.6132568467603248,-0.49615791592762987,0.45843166535744034,0.40936996783049234
48,0.7763474752542304,-0.13356190184061761,0.9494220293561338,0.6128642813916779,-0.49897945356133855,0.4569735210702004,0.4081569288381531
49,0.7791927931983184,-0.1349128013115122,0.9566440242909089,0.6124645376475552,-0.5017951467332618,0.4555100243295442,0.4069391091728699
50,0.7820358448580438,-0.13626001704108726,0.9638693899780242,0.6120576202100871,-0.504604962463662,0.45404119227716067,0.40571652309875816
51,0.786499942946543,-0.13732693402257531,0.970675665268423,0.6105834913442477,-0.506291362246637,0.4538647955922554,0.4060339935698905
52,0.790964501511143,-0.13839019092196653,0.9774822937831958,0.6091062186429742,-0.5079751551842795,0.4536860620013467,0.4063493734112
53,0.7954295085165164,-0.13944978515778086,0.9842892640625789,0.6076258097126013,-0.5096563326069022,0.4535049924247164,0.40666266099882625
54,0.7998949519180997,-0.14050571422397304,0.9910965646397694,0.6061422721756117,-0.5113348858582851,0.4533215877946744,0.4069738547196818
55,0.8043608196623417,-0.14155797568998388,0.9979041840411619,0.6046556136705967,-0.5130108062957194,0.45313584905555326,0.4072829529714603
56,0.8088270996869514,-0.14260656720079085,1.0047121107865844,0.6031658418522177,-0.5146840852900528,0.4529477771637041,0.40758995416264443
57,0.813293779921147,-0.14365148647695608,1.0115203333895357,0.6016729643911657,-0.5163547142257332,0.45275737308749076,0.4078948567125151
58,0.8177608482859038,-0.14469273131467375,1.0183288403574207,0.6001769889741225,-0.5180226845008536,0.4525646378072854,0.4081976590511582
59,0.8222282926942036,-0.14573029958581507,1.0251376201917872,0.5986779233037214,-0.5196879875271962,0.45236957231546326,0.4084983596194737
60,0.8266961010512831,-0.1467641892379723,1.0319466613885635,0.5971757750985066,-0.5213506147302766,0.45217217761639805,0.4087969568691838
