t,x,y,z,qw,qx,qy,qz
0,1.0295843520782397,0.12943765281173591,0.8,0.5686410620381962,0.4202979499606144,0.5686384028878901,-0.4202943523104808
1,1.0283098044480428,0.13284920863707766,0.8023162619186525,0.5701606219451445,0.42285326550559243,0.5648014227742204,-0.4208459740410963
2,1.027045477709246,0.1362514817942666,0.804641545759593,0.571666574739206,0.4253984894870758,0.5609509634471102,-0.42138755211303663
3,1.0257912503367475,0.1396444367649947,0.8069759512140018,0.5731588844802099,0.42793356116226916,0.5570871167993221,-0.42191907360132264
4,1.0245469998413501,0.14302803892047705,0.8093195771023002,0.5746375155535838,0.43045842003066576,0.5532099750431126,-0.4224405258209802
5,1.0233126027814532,0.14640225452475897,0.8116725213647169,0.5761024326712013,0.43297300583549203,0.5493196307080317,-0.422951896327342
6,1.0220879347748368,0.14976705073793511,0.8140348810519397,0.5775536008722252,0.4354772585651447,0.5454161766387136,-0.4234531729163449
7,1.0208728705105359,0.15312239561928528,0.8164067523158494,0.5789909855239425,0.43797111845462394,0.5414997059926617,-0.4239443436248213
8,1.0196672837608016,0.15646825813032333,0.8187882304003423,0.5804145523225887,0.440454525986959,0.5375703122380256,-0.42442539673078433
9,1.018471047393152,0.15980460813775987,0.8211794096322373,0.5818242672941694,0.4429274218946287,0.5336280891513699,-0.42489632075370787
10,1.017284033382508,0.16313141641637913,0.8235803834122718,0.583220096795269,0.4453897471609764,0.5296731308154367,-0.4253571044548005
11,1.0161061128234143,0.16644865465182862,0.8259912442061854,0.5846020075138539,0.4478414430216176,0.5257055316168989,-0.4258077368372735
12,1.0149371559423461,0.16975629544332232,0.8284120835358929,0.5859699664700686,0.4502824509658434,0.5217253862441099,-0.4262482071466036
13,1.0137770321100954,0.173054312306256,0.830842991970748,0.5873239410170212,0.45271271273801583,0.517732789684842,-0.4266785048707895
14,1.012625609854243,0.17634267967473577,0.8332840591188969,0.5886638988415642,0.45513217033895914,0.5137278372240204,-0.42709861974060276
15,1.0114827568717077,0.17962137290401853,0.8357353736187244,0.5899898079650641,0.4575407660273427,0.5097106244414482,-0.42750854172983266
16,1.010348340041377,0.18289036827286462,0.8381970231303929,0.5913016367441659,0.4599384423210608,0.5056812472095269,-0.4279082610555259
17,1.0092222254368144,0.18614964298580217,0.840669094327473,0.5925993538715473,0.4623251419986028,0.5016398016909668,-0.42829776817821974
18,1.0081042783390437,0.18939917517530316,0.8431516728886711,0.5938829283766663,0.4647008081004194,0.4975863843364932,-0.42867705380216975
19,1.006994363249411,0.19263894390387126,0.8456448434896494,0.5951523296265004,0.4670653839302826,0.4935210918825437,-0.4290461088755719
20,1.0058923439025171,0.19586892916604012,0.8481486897949428,0.5964075273262776,0.4694188130566374,0.4894440213489601,-0.42940492459077817
21,1.0047980832792287,0.19908911189028325,0.8506632944499725,0.597648491520199,0.47176103931395014,0.48535527003667284,-0.42975349238450694
22,1.0037114436197556,0.2022994739408348,0.8531887390731564,0.5988751925921545,0.4740920068040477,0.48125493552537896,-0.43009180393804747
23,1.0026322864368025,0.2054999981194203,0.855725104248118,0.600087601266429,0.47641165989745216,0.4771431156712128,-0.4304198511774582
24,1.0015604725287894,0.20869066816689935,0.8582724695159929,0.6012856886084009,0.478719943234708,0.47301990860441157,-0.4307376262737598
25,1.0004958619931394,0.21187146876481672,0.8608309133678371,0.6024694260252335,0.48101680172770384,0.46888541272697243,-0.4310451216431214
26,0.9994383142396345,0.21504238553686525,0.8634005132371331,0.6036387852665562,0.4833021805609864,0.4647397267103049,-0.43134232994704225
27,0.998387688003836,0.21820340505025818,0.8659813454923982,0.6047937384251402,0.4855760251930696,0.4605829494928755,-0.4316292440925267
28,0.9973438413605694,0.22135451481701118,0.868573485429895,0.6059342579375628,0.4878382813577354,0.45641518027784667,-0.4319058572322526
29,0.9963066317374739,0.22449570329513474,0.8711770072664421,0.6070603165848666,0.49008889506532904,0.4522365185307094,-0.43217216276473636
30,0.9952759159286118,0.22762695988973597,0.873791984132331,0.6081718874932085,0.4923278126040481,0.4480470639769094,-0.43242815433448906
31,0.9937991479022159,0.2315166431613736,0.8764382719168589,0.610516611681052,0.49317760416332806,0.4449151081736126,-0.4313882985571929
32,0.9923295424752825,0.23540326863738745,0.8790874391114806,0.6128508897316163,0.49401895729381273,0.4417755397284833,-0.4303410615861649
33,0.9908670756292375,0.2392868412513985,0.8817395498828587,0.615174681704647,0.4948518575996771,0.4386284123605563,-0.4292864613399695
34,0.989411722856935,0.24316736614596876,0.8843946681961941,0.6174879478393093,0.4956762908297265,0.4354737799182013,-0.42822451586315885
35,0.987963459164335,0.24704484867224924,0.8870528578108479,0.6197906485548692,0.4964922428776413,0.4323116963782033,-0.4271552433259646
36,0.9865222590722131,0.25091929438961347,0.889714182275979,0.6220827444513709,0.4972996997822169,0.4291422158448371,-0.42607866202398675
37,0.9850880966179061,0.2547907090652776,0.8923787049261939,0.6243641963103095,0.4980986477276039,0.42596539254894283,-0.4249947903778805
38,0.9836609453570869,0.258659098673905,0.8950464888772118,0.6266349650953039,0.49888907304354385,0.4227812808469978,-0.42390364693304156
39,0.9822407783655756,0.262524469397198,0.8977175970215454,0.6288950119527634,0.49967096220560303,0.41958993522018606,-0.4228052503592882
40,0.9808275682411814,0.2663868276234741,0.9003920920241961,0.6311442982125534,0.5004443018354043,0.4163914102734667,-0.4216996194505419
41,0.9794212871055797,0.2702461799472293,0.9030700363183656,0.6333827853886559,0.5012090787008556,0.413185760734639,-0.4205867731245063
42,0.977923130415566,0.2741110661452207,0.9058783988904082,0.6360593660205762,0.5010074359317065,0.4110337141738264,-0.4188929670585421
43,0.9764315639979853,0.2779720071121845,0.9086853320042054,0.6387265933822981,0.5007984258346475,0.4088756233511185,-0.417193001160156
44,0.9749466063963684,0.28182901403631166,0.9114908915285465,0.6413844282521711,0.5005820514831775,0.4067115200012989,-0.4154869004273924
45,0.9734682757655163,0.2856820983371931,0.9142951334130142,0.6440328315466616,0.5003583160590875,0.4045414359475662,-0.4137746899485089
46,0.9719965898704318,0.2895312716651481,0.9170981136846952,0.6466717643209272,0.5001272228524131,0.40236540310106517,-0.4120563949016071
47,0.9705315660852756,0.29337654590053874,0.9198998884448844,0.6493011877693902,0.4998887752613858,0.4001834534604177,-0.4103320405542621
48,0.9690732213923435,0.2972179331530715,0.922700513865784,0.6519210632263075,0.49964297679238406,0.39799561911125225,-0.40860165226315087
49,0.967621572381068,0.30105544576108473,0.925500046187201,0.6545313521663395,0.499389831059881,0.3958019322257323,-0.40686525547368074
50,0.9662333362512832,0.30419202664076483,0.9288367599978576,0.6575282044391464,0.49717291169692823,0.3961928439688791,-0.40435997159669734
51,0.964850502605284,0.3073117926877864,0.9321704713466815,0.6605116923760412,0.4949458872377174,0.3965757030471865,-0.40184646905707216
52,0.9634732111293208,0.31041477627728387,0.9355012546114583,0.6634817553372906,0.492708802946775,0.396950501679,-0.39932479894203143
53,0.962101601059065,0.31350101114880585,0.9388291844080275,0.6664383329560255,0.49046170429309516,0.39731723224649473,-0.3967950125048087
54,0.9607358111682894,0.3165705324035728,0.9421543355842158,0.6693813651394677,0.4882046369492148,0.3976758872958297,-0.39425716116360204
55,0.9593759797575866,0.3196233765016226,0.9454767832137511,0.6723107920701518,0.4859376467902857,0.39802645953730037,-0.3917112965005305
56,0.9580222446431237,0.32265958125884714,0.9487966025901605,0.6752265542071406,0.48366077989314177,0.3983689418454857,-0.38915747026058417
57,0.956674743145439,0.32567918584391686,0.9521138692206479,0.6781285922872353,0.4813740825353631,0.39870332725939345,-0.3865957343505732
58,0.9553336120782775,0.3286822307750976,0.955428658819956,0.6810168473261803,0.47907760119433485,0.39902960898260215,-0.384026140838073
59,0.953998987737468,0.33166875791695527,0.9587410473042091,0.6838912606198617,0.47677138254630286,0.3993477803833984,-0.38144874195036527
60,0.952671005889842,0.33463881047695304,0.9620511107847435,0.6867517737455008,0.4744554734654246,0.399657834994912,-0.378863590073377
61,0.9536888659185924,0.3312502647890482,0.9663753740933013,0.6849952821723363,0.4727433569957324,0.4036407588364144,-0.37995962893972096
62,0.9547138107404187,0.3278582237984489,0.9707091007583875,0.683222979819618,0.47102032885818285,0.40761436600782736,-0.3810468977340822
63,0.955745935282538,0.32446269025520214,0.9750522199866569,0.6814349075949006,0.4692864288230031,0.41157856479198324,-0.3821253713605692
64,0.9567853338092934,0.3210636672318077,0.9794046601175892,0.6796311067697322,0.4675416969113612,0.41553326368887533,-0.3831950249262972
65,0.9578320999134513,0.3176611581229342,0.9837663486301035,0.6778116189787017,0.465786173394442,0.41947837141776906,-0.38425583374196226
66,0.9588863265075608,0.31425516664510633,0.9881372121492543,0.6759764862184787,0.4640198987925177,0.4234137969193092,-0.385307773322411
67,0.9599481058153749,0.3108456968363613,0.992517176453007,0.6741257508468433,0.4622429138740127,0.4273394493576221,-0.38635081938720667
68,0.9610175293633358,0.3074327530558758,0.9969061664790885,0.6722594555817087,0.4604552596545627,0.4312552381224116,-0.3873849478611887
69,0.9620946879721254,0.30401633998356414,1.001304106331919,0.6703776435001351,0.4586569773960673,0.43516107283105104,-0.3884101348750287
70,0.9631796717482797,0.3005964626196458,1.0057109192896183,0.6684803580373352,0.45684810860573866,0.43905686333066896,-0.38942635676578125
71,0.9642725700758693,0.2971731262841835,1.01012652781109,0.6665676429856728,0.4550286950351426,0.44294251970023035,-0.3904335900774305
72,0.9653734716082478,0.293746336616593,1.0145508535431793,0.6646395424936499,0.45319877867923547,0.44681795225261184,-0.39143181156143103
73,0.9664824642598662,0.2903160995751211,1.0189838173279084,0.6626961010648901,0.4513584017753943,0.4506830715366723,-0.39242099817724496
74,0.9675996351981561,0.2868824214362968,1.023425339209784,0.6607373635571093,0.4495076068024425,0.45453778833931724,-0.39340112709287345
75,0.9687250708354818,0.2834453087943508,1.0278753384431791,0.6587633751810817,0.4476464364796689,0.4583820136875575,-0.39437217568538363
76,0.969858856821163,0.2800047685606074,1.0323337334997886,0.6567741814995957,0.44577493376584165,0.46221565885056365,-0.3953341215414309
77,0.9710010780335665,0.27656080796284593,1.0368004420761558,0.6547698284264023,0.4438931418582175,0.4660386353417141,-0.3962869424577765
78,0.9721518185722695,0.27311343454463405,1.041275381101272,0.6527503622251549,0.4420011041915436,0.46985085492063633,-0.3972306164417998
79,0.973311161750296,0.2696626561646303,1.0457584667442452,0.6507158295083428,0.44009886443705587,0.4736522295952454,-0.39816512171200563
80,0.9744791900864235,0.2662084809958596,1.0502496144220401,0.6486662772362137,0.4381864665014702,0.47744267162377324,-0.39909043669852734
81,0.9756559852975659,0.26275091752495794,1.0547487388072874,0.6466017527156908,0.4362639545259699,0.481222093516795,-0.400006540043625
82,0.9768416282912273,0.25928997455138925,1.059255753836162,0.6445223035992803,0.43433137288518614,0.48499040803924803,-0.4009134106021776
83,0.9780361991580336,0.2558256611866325,1.0637705727163282,0.6424279778839723,0.43238876618617395,0.4887475282124453,-0.4018110274421717
84,0.9792397771643374,0.2523579868533413,1.068293107934954,0.6403188239101321,0.4304361792673828,0.4924933673160833,-0.4026993698451842
85,0.9804524407448997,0.24888696128447296,1.0728232712667891,0.6381948903603846,0.42847365719762126,0.49622783889024324,-0.40357841730686095
86,0.9816742674956481,0.24541259452239078,1.0773609737823124,0.636056226258491,0.4265012452750173,0.4999508567373876,-0.40444814953738994
87,0.9829053341665133,0.24193489691793618,1.0819061258559408,0.6339028809682173,0.424518989025972,0.5036623349243484,-0.4053085464619689
88,0.9841457166543429,0.23845387912947347,1.0864586371743048,0.6317349041921945,0.42252693420410947,0.5073621877843117,-0.4061595882212702
89,0.9853954899958933,0.23496955212190573,1.0910184167445862,0.629552345970771,0.4205251267892203,0.5110503299187946,-0.40700125517189734
90,0.9866547283609034,0.23148192716566227,1.0955853729029206,0.627355256680859,0.4185136129862005,0.5147266761996162,-0.40783352788683985
91,0.9879235050452455,0.22799101583565828,1.1001594133228578,0.6251436870347703,0.41649243922398477,0.5183911417708628,-0.40865638715592095
92,0.9892018924641592,0.22449683001022616,1.1047404450238885,0.6229176880790462,0.41446165215447517,0.522043642050846,-0.4094698139862412
93,0.9904899621455646,0.22099938187001894,1.1093283743800266,0.6206773111932802,0.41242129865146426,0.5256840927340559,-0.41027378960261696
94,0.9917877847234594,0.2174986838968851,1.113923107128455,0.6184226080889302,0.4103714258095528,0.5293124097931059,-0.41106829544801343
95,0.993095429931397,0.21399474887271708,1.1185245483782273,0.6161536308081269,0.4083120809430633,0.5329285094806732,-0.4118533131839733
96,0.9944129665960477,0.21048758987827054,1.12313260261903,0.6138704317224709,0.4062433115849474,0.5365323083314308,-0.41262882469103973
97,0.995740462630846,0.20697722029195686,1.1277471737299989,0.6115730635318255,0.40416516548568937,0.5401237231639754,-0.41339481206917494
98,0.9970779850297188,0.2034636537886079,1.1323681649885948,0.6092615792630987,0.4020776906122029,0.5437026710827454,-0.4141512576381731
99,0.9984255998609005,0.19994690433821363,1.136995479079533,0.6069360322690204,0.39998093514672545,0.5472690694799364,-0.4148981439380686
100,0.9997833722608338,0.19642698620463206,1.141629018103768,0.6045964762269105,0.3978749474857045,0.5508228360374061,-0.41563545372953853
101,1.0011513664281555,0.19290391394427267,1.1462686835875326,0.6022429651374398,0.39575977623868197,0.5543638887285761,-0.41636316999430184
102,1.002529645617769,0.1893777024047521,1.150914376491429,0.5998755533233842,0.3936354702271708,0.5578921458203229,-0.4170812759355103
103,1.0039182721350044,0.1858483667235238,1.1555659972195724,0.5974942954283697,0.3915020784835295,0.561407525874867,-0.41778975497813814
104,1.005317307329867,0.18231592232647995,1.1602234456287874,0.5950992464156128,0.3893596502498294,0.5649099477516507,-0.418488590769363
105,1.0067268115913715,0.17878038492652742,1.1648866210378528,0.5926904615666501,0.38720823497671836,0.5683993306092119,-0.41917776717894467
106,1.0092511826606343,0.17337292816374855,1.1687742601541853,0.5900665970876929,0.39091791399588194,0.5684729200017649,-0.4193365411493796
107,1.0117796784871393,0.16794681498719066,1.1726656380077496,0.5874305317971044,0.3946195100022883,0.5685347550753161,-0.419486644494882
108,1.0143121770475374,0.1625019955660577,1.1765606363707783,0.5847823202008271,0.3983129464580074,0.5685848345513009,-0.4196280741117632
109,1.0168485559874219,0.15703842161670267,1.1804591367160602,0.5821220170559528,0.4019981469938253,0.5686231573942261,-0.41976082707568246
110,1.0193886926314497,0.15155604640662054,1.1843610202267438,0.5794496773695903,0.40567503541082167,0.5686497228116896,-0.41988490064170547
111,1.0219324639934868,0.14605482475831338,1.188266167806164,0.5767653563977283,0.4093435356819458,0.5686645302543982,-0.4200002922443621
112,1.0244797467867812,0.14053471305302712,1.1921744600876925,0.5740691096440923,0.4130035719535893,0.5686675794161783,-0.42010699949769936
113,1.0270304174341573,0.13499566923435896,1.1960857774446096,0.5713609928589978,0.4166550685471534,0.5686588702339824,-0.4202050201953305
114,1.0295843520782397,0.12943765281173591,1.2,0.5686410620381962,0.4202979499606144,0.5686384028878901,-0.4202943523104808
