t,x,y,z,qw,qx,qy,qz
0,0.9,-0.17207823960880192,0.9471882640586797,0.5686410620381962,-0.4202943523104809,0.4202979499606145,0.5686384028878902
1,0.9,-0.1731625364265455,0.9508600368505907,0.5641391601890626,-0.42631796579688436,0.4263215349640466,0.5641364629288599
2,0.9,-0.17416849528763514,0.954554040341951,0.5595734530278514,-0.43229336183487865,0.43229690211538935,0.5595707179628177
3,0.9,-0.17509566110078337,0.9582686033821101,0.5549444569455362,-0.4382198645947467,0.43822337558819285,0.554941684385013
4,0.9,-0.17594361442032486,0.9620020455193696,0.5502526954911996,-0.444096803776703,0.4441002850859838,0.5502498857487692
5,0.9,-0.1767119716359722,0.9657526777612123,0.5454986993128177,-0.44992351468670577,0.44992696591807796,0.545495852706268
6,0.9,-0.177400385146359,0.9695188033383941,0.540683006097244,-0.45569933831163484,0.455702759074757,0.540680122948532
7,0.9,-0.17800854351629355,0.973298718472556,0.5358061605093946,-0.4614236213938285,0.46142701130180513,0.5358032411446104
8,0.9,-0.17853617161765054,0.9770907131470044,0.5308687141306464,-0.4670957165049668,0.4670990751743923,0.5308657588799763
9,0.9,-0.17898303075383776,0.9808930718803163,0.5258712253964517,-0.47271498211929835,0.47271830917030033,0.5258682345941406
10,0.9,-0.17934891876778158,0.9847040745024144,0.520814259533178,-0.4782807826861977,0.47828407774247966,0.5208112335174918
11,0.9,-0.17963367013338158,0.9885219969327652,0.5156983884941796,-0.4837924887020473,0.4837957513909314,0.5156953276073672
12,0.9,-0.1798371560303942,0.9923451119603446,0.5105241908951091,-0.4892494767814356,0.4892527067339052,0.5105210954833631
13,0.9,-0.17995928440271006,0.9961716900250209,0.505292251948474,-0.4946511297276638,0.49465432657840447,0.5052891223618918
14,0.9,-0.18,1.0,0.5000031633974484,-0.4999968366025516,0.49999999998999284,0.49999999998999284
15,0.9,-0.17995928440271006,1.003828309974979,0.4946575234489453,-0.5052859927955357,0.505289122361892,0.4946543265784047
16,0.9,-0.1798371560303942,1.0076548880396554,0.48925593670595874,-0.5105180000920525,0.5105210954833631,0.48925270673390525
17,0.9,-0.17963367013338158,1.0114780030672348,0.48379901409918113,-0.5156922667411974,0.5156953276073672,0.4837957513909315
18,0.9,-0.17934891876778158,1.0152959254975857,0.4782873728179066,-0.5208082075226531,0.520811233517492,0.47828407774247983
19,0.9,-0.17898303075383776,1.0191069281196838,0.47272163624022445,-0.5258652438128792,0.5258682345941408,0.4727183091703004
20,0.9,-0.17853617161765054,1.0229092868529956,0.46710243386251515,-0.530862803650556,0.5308657588799763,0.4670990751743924
21,0.9,-0.17800854351629355,1.026701281527444,0.461430401228252,-0.5358003218012737,0.5358032411446106,0.4614270113018052
22,0.9,-0.177400385146359,1.0304811966616059,0.4557061798561203,-0.5406772398214627,0.5406801229485322,0.4557027590747571
23,0.9,-0.1767119716359722,1.0342473222387878,0.4499304171674599,-0.5454930061215537,0.5454958527062681,0.449926965918078
24,0.9,-0.17594361442032488,1.0379979544806304,0.44410376641304133,-0.5502470760283646,0.5502498857487693,0.4441002850859839
25,0.9,-0.17509566110078337,1.0417313966178898,0.43822688659918035,-0.5549389118467034,0.5549416843850131,0.4382233755881929
26,0.9,-0.17416849528763514,1.045445959658049,0.43230044241320426,-0.5595679829201828,0.5595707179628178,0.4322969021153894
27,0.9,-0.1731625364265455,1.0491399631494094,0.42632510414827374,-0.5641337656912386,0.56413646292886,0.4263215349640467
28,0.9,-0.17207823960880192,1.0528117359413203,0.4203015476275719,-0.5686357437603461,0.5686384028878904,0.4202979499606146
