t,x,y,z,qw,qx,qy,qz
0,1.0,-0.5,0.9,1.0,0.0,0.0,0.0
1,1.0,-0.4787867965644036,0.9212132034355964,1.0,0.0,0.0,0.0
2,1.0,-0.4575735931288072,0.9424264068711928,1.0,0.0,0.0,0.0
3,1.0,-0.4363603896932108,0.9636396103067892,1.0,0.0,0.0,0.0
4,1.0,-0.4151471862576144,0.9848528137423856,1.0,0.0,0.0,0.0
5,1.0,-0.39393398282201797,1.006066017177982,1.0,0.0,0.0,0.0
6,1.0,-0.37272077938642156,1.0272792206135786,1.0,0.0,0.0,0.0
7,1.0,-0.35150757595082516,1.048492424049175,1.0,0.0,0.0,0.0
8,1.0,-0.33029437251522875,1.0697056274847716,1.0,0.0,0.0,0.0
9,1.0,-0.3090811690796323,1.0909188309203681,1.0,0.0,0.0,0.0
10,1.0,-0.28786796564403583,1.1121320343559646,1.0,0.0,0.0,0.0
11,1.0,-0.26665476220843937,1.133345237791561,1.0,0.0,0.0,0.0
12,1.0,-0.24544155877284293,1.1545584412271575,1.0,0.0,0.0,0.0
13,1.0,-0.2242283553372465,1.1757716446627537,1.0,0.0,0.0,0.0
14,1.0,-0.20301515190165006,1.1969848480983503,1.0,0.0,0.0,0.0
15,1.0,-0.18180194846605363,1.2181980515339466,1.0,0.0,0.0,0.0
16,1.0,-0.1605887450304572,1.239411254969543,1.0,0.0,0.0,0.0
17,1.0,-0.13937554159486074,1.2606244584051394,1.0,0.0,0.0,0.0
18,1.0,-0.1181623381592643,1.2818376618407359,1.0,0.0,0.0,0.0
19,1.0,-0.09694913472366785,1.3030508652763322,1.0,0.0,0.0,0.0
20,1.0,-0.0757359312880714,1.3242640687119287,1.0,0.0,0.0,0.0
21,1.0,-0.05452272785247495,1.345477272147525,1.0,0.0,0.0,0.0
22,1.0054451374642013,-0.035232218853689906,1.3677982654176226,1.0,0.0,0.0,0.0
23,1.0134523221765235,-0.010582035132472092,1.3829063240451551,1.0,0.0,0.0,0.0
