t,x,y,z,qw,qx,qy,qz
0,1.0,0.0,0.8,1.0,0.0,0.0,0.0
1,1.0,0.0,0.8105263157894738,1.0,0.0,0.0,0.0
2,1.0,0.0,0.8210526315789474,1.0,0.0,0.0,0.0
3,1.0,0.0,0.8315789473684211,1.0,0.0,0.0,0.0
4,1.0,0.0,0.8421052631578948,1.0,0.0,0.0,0.0
5,1.0,0.0,0.8526315789473684,1.0,0.0,0.0,0.0
6,1.0,0.0,0.8631578947368421,1.0,0.0,0.0,0.0
7,1.0,0.0,0.8736842105263158,1.0,0.0,0.0,0.0
8,1.0,0.0,0.8842105263157894,1.0,0.0,0.0,0.0
9,1.0,0.0,0.8947368421052632,1.0,0.0,0.0,0.0
10,1.0,0.0,0.9052631578947369,1.0,0.0,0.0,0.0
11,1.0,0.0,0.9157894736842106,1.0,0.0,0.0,0.0
12,1.0,0.0,0.9263157894736842,1.0,0.0,0.0,0.0
13,1.0,0.0,0.9368421052631579,1.0,0.0,0.0,0.0
14,1.0,0.0,0.9473684210526316,1.0,0.0,0.0,0.0
15,1.0,0.0,0.9578947368421052,1.0,0.0,0.0,0.0
16,1.0,0.0,0.968421052631579,1.0,0.0,0.0,0.0
17,1.0,0.0,0.9789473684210527,1.0,0.0,0.0,0.0
18,1.0,0.0,0.9894736842105263,1.0,0.0,0.0,0.0
19,1.0,0.0,1.0,1.0,0.0,0.0,0.0
20,1.0,0.0,1.0105263157894737,1.0,0.0,0.0,0.0
21,1.0,0.0,1.0210526315789474,1.0,0.0,0.0,0.0
22,1.0,0.0,1.0315789473684212,1.0,0.0,0.0,0.0
23,1.0,0.0,1.0421052631578946,1.0,0.0,0.0,0.0
24,1.0,0.0,1.0526315789473684,1.0,0.0,0.0,0.0
25,1.0,0.0,1.063157894736842,1.0,0.0,0.0,0.0
26,1.0,0.0,1.0736842105263158,1.0,0.0,0.0,0.0
27,1.0,0.0,1.0842105263157895,1.0,0.0,0.0,0.0
28,1.0,0.0,1.094736842105263,1.0,0.0,0.0,0.0
29,1.0,0.0,1.1052631578947367,1.0,0.0,0.0,0.0
30,1.0,0.0,1.1157894736842104,1.0,0.0,0.0,0.0
31,1.0,0.0,1.1263157894736842,1.0,0.0,0.0,0.0
32,1.0,0.0,1.1368421052631579,1.0,0.0,0.0,0.0
33,1.0,0.0,1.1473684210526316,1.0,0.0,0.0,0.0
34,1.0,0.0,1.1578947368421053,1.0,0.0,0.0,0.0
35,1.0,0.0,1.168421052631579,1.0,0.0,0.0,0.0
36,1.0,0.0,1.1789473684210525,1.0,0.0,0.0,0.0
37,1.0,0.0,1.1894736842105262,1.0,0.0,0.0,0.0
38,1.0,0.0,1.2,1.0,0.0,0.0,0.0
