t,x,y,z,qw,qx,qy,qz
0,0.9,0.24000000000000005,0.9,0.5472736023126069,0.5472701398357258,0.44776642081472684,-0.44776358789738235
1,0.9,0.24000000000000005,0.9,0.5422814478820825,0.5422780169894386,0.45379950934345525,-0.4537966382561178
2,0.9,0.24,0.9,0.5372227887325346,0.5372193898448883,0.4597769444675176,-0.4597740355622938
3,0.9,0.24,0.9,0.5320982452515993,0.532094878785786,0.46569799312174115,-0.46569504675537543
4,0.9,0.24,0.9,0.5269084459068841,0.526905112275763,0.47156192915611894,-0.47155894568995
5,0.9,0.24,0.9,0.5216540271688946,0.521650726781298,0.47736803342486445,-0.4773650132247808
6,0.9,0.24,0.9,0.5163356334329781,0.5163323666936612,0.48311559387460656,-0.4831125373110019
7,0.9,0.24,0.9,0.5109539169402947,0.5109506842498867,0.4888039056317152,-0.4888008130794427
8,0.9,0.24000000000000005,0.9,0.5055095376978296,0.5055063394527834,0.4944322710887459,-0.4944291429270719
9,0.9,0.24,0.9,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
10,0.9,0.24000000000000005,0.9,0.4944354693340135,0.49443234115210516,0.5055064095161426,-0.5055032112908878
11,0.9,0.24,0.9,0.48880713832256645,0.4888040457498413,0.5109508243680126,-0.5109475916971707
12,0.9,0.24000000000000005,0.9,0.4831188606145881,0.48311580403031557,0.51633257684937,-0.5163293101293916
13,0.9,0.24,0.9,0.4773713338133473,0.4773683135923829,0.5216510069488164,-0.5216477065803281
14,0.9,0.24,0.9,0.4715652627883476,0.4715622793010876,0.5269054624207314,-0.5269021288084863
15,0.9,0.24,0.9,0.4657013595888832,0.46569841320121863,0.5320952988652634,-0.5320919324180914
16,0.9,0.24,0.9,0.4597803433567138,0.459777434429986,0.5372198798073566,-0.5372164809381146
17,0.9,0.24000000000000005,0.9,0.4538029402378699,0.453800069128826,0.5422785767748092,-0.5422751459003302
18,0.9,0.24000000000000005,0.9,0.44776988329359935,0.4477670503543486,0.5472707693753475,-0.5472673069163897
